cihi_name_raw_clean,fac_set,override_reason,notes
Services de sante de Chapleau Health Services,627,FRP,Common unsafe name
St. Joseph's General Hospital,650,manual,Common unsafe name
South Huron Hospital,655,ALLIANCE,also 663
Alexandra Hospital,663,alliance,also 663
St. Joseph's Healthcare Hamilton,674,manual,Common unsafe name
Hopital Notre-Dame Hospital,681,manual,Common unsafe name
MICs Group of Health Services,723,manual,Common unsafe name
North Shore Health Network,611,manual,Common unsafe name
St. Joseph's Health Care London,714,manual,Common unsafe name
Sante Manitouwadge Health,719,manual,Common unsafe name
Hopital de Mattawa Hospital,724,manual,Common unsafe name
Orillia Soldiers' Mem. Hosp.,745,manual,corporate names
Hopital Montfort,753,manual,Common unsafe name
Humber River Health,914,manual,Common unsafe name
North of Superior Healthcare Group,977,manual,Common unsafe name
St. Mary's General Hospital,792,manual,Common unsafe name
Hopital general de Hawkesbury & District General Hospital,800,manual,Common unsafe name
Hopital Glengarry Memorial Hospital,802,manual,Common unsafe name
Hospital for Sick Children,837,manual,Common unsafe name
Middlesex Hospital Alliance,814|593,Partnership,Strathroy and Four Counties
Hopital de Smooth Rock Falls Hospital,809,manual,Common unsafe name
Riverside Health Care Facilities,900,rebrand,Common unsafe name
University Health Network,947,rebranding,Common unsafe name
Brightshores Health System,955,rebranding,Was grey bruce health system
Quinte Health,957,manual,corporate names
Health Sciences North Corporation / Association Horizon Sante-Nord,959,manual,corporate names
Scarborough Health Network,979,merger,Common unsafe name
North Wellington Health Care,963|656,Partnership,mergers
